Tikr,KPI,Mar_2010,Mar_2011,Mar_2012,Mar_2013,Mar_2014,Mar_2015,Mar_2016,Mar_2017,Mar_2018,Mar_2019,Mar_2020,Mar_2021,TTM,Dec_2009,Dec_2010,Dec_2011,Dec_2012,Dec_2013,Dec_2014,Dec_2015,Dec_2016,Dec_2017,Dec_2018,Dec_2019,Dec_2020,Jun_2010,Jun_2011,Jun_2012,Jun_2013,Jun_2014,Jun_2015,Jun_2016,Jun_2017,Jun_2018,Jun_2019,Jun_2020,Jun_2021,Sep_2009,Sep_2010,Sep_2011,Sep_2012,Sep_2006,Sep_2007,Sep_2008,Mar_2009,Jun_2009,Sep_2013,Sep_2014,Sep_2015,Sep_2016,Sep_2017,Sep_2018,Sep_2019,Sep_2020,Mar_2008,Nov_2009,Dec_2008,Oct_2010,Oct_2011,Oct_2012,Oct_2013,Mar_2007,Mar_2006,Jun_2007,Jun_2008,Mar_2004,Mar_2003
COUNCODOS,Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Sales +,1.13,1.28,0.13,0.07,0.06,0.04,0.01,0.02,0.02,0.05,0.11,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Expenses +,1.82,3.06,1.06,1.51,0.17,0.13,0.12,0.10,0.11,26.95,0.15,2.64,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Operating Profit,-0.69,-1.78,-0.93,-1.44,-0.11,-0.09,-0.11,-0.08,-0.09,-26.90,-0.04,-2.54,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,OPM %,-61.06%,-139.06%,-715.38%,"-2,057.14%",-183.33%,-225.00%,"-1,100.00%",-400.00%,-450.00%,"-53,800.00%",-36.36%,"-2,540.00%","-1,570.00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Other Income,0.39,0.49,0.86,0.44,0.04,0.00,0.00,-26.82,0.00,26.82,0.00,0.10,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Depreciation,0.22,0.21,0.21,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Profit before tax,-0.52,-1.50,-0.28,-1.01,-0.08,-0.09,-0.11,-26.90,-0.09,-0.08,-0.04,-2.44,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Tax %,-11.54%,-9.33%,-35.71%,-5.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-3.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Net Profit,-0.58,-1.64,-0.38,-1.07,-0.08,-0.09,-0.11,-26.90,-0.09,-0.08,-0.04,-2.52,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,EPS in Rs,-0.67,-1.90,-0.44,-1.24,-0.09,-0.10,-0.13,-31.24,-0.10,-0.09,-0.05,-2.93,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISOLUTION,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Sales +,,,,,,,,,,,45.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Expenses +,,,,,,,,,,,32.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Operating Profit,,,,,,,,,,,13.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,OPM %,,,,,,,,,,,28.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Other Income,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Interest,,,,,,,,,,,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Depreciation,,,,,,,,,,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Profit before tax,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Tax %,,,,,,,,,,,"-1,100.00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Net Profit,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,EPS in Rs,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDVR,Dividend Payout %,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Sales +,,1624,,,,,1484,1191,1344,1165,1161,1469,1396,,,,,,1399,,,,,,,,,,,,,,,,,,,678,,,1695,,,1020,,,1283,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Expenses +,,1549,,,,,1377,1028,1313,1049,1107,1390,1305,,,,,,1451,,,,,,,,,,,,,,,,,,,634,,,1675,,,1056,,,1337,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Operating Profit,,75,,,,,107,163,32,116,54,79,91,,,,,,-51,,,,,,,,,,,,,,,,,,,44,,,20,,,-36,,,-53,,,,,,,,,,,,,,,,,,,,
MAWANASUG,OPM %,,5%,,,,,7%,14%,2%,10%,5%,5%,6%,,,,,,-4%,,,,,,,,,,,,,,,,,,,6%,,,1%,,,-4%,,,-4%,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Other Income,,58,,,,,9,359,27,12,18,111,111,,,,,,9,,,,,,,,,,,,,,,,,,,23,,,95,,,38,,,-94,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Interest,,112,,,,,77,44,21,23,27,35,32,,,,,,77,,,,,,,,,,,,,,,,,,,71,,,123,,,94,,,90,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Depreciation,,79,,,,,38,30,24,33,56,48,43,,,,,,61,,,,,,,,,,,,,,,,,,,52,,,77,,,75,,,50,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Profit before tax,,-59,,,,,2,447,14,71,-10,107,126,,,,,,-181,,,,,,,,,,,,,,,,,,,-57,,,-84,,,-168,,,-288,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Tax %,,0%,,,,,0%,19%,-18%,40%,-687%,30%,,,,,,,0%,,,,,,,,,,,,,,,,,,,-1%,,,3%,,,0%,,,-0%,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Net Profit,,-59,,,,,2,363,16,42,-80,74,90,,,,,,-181,,,,,,,,,,,,,,,,,,,-57,,,-81,,,-167,,,-288,,,,,,,,,,,,,,,,,,,,
MAWANASUG,EPS in Rs,,-16.77,,,,,0.56,92.77,4.15,10.85,-20.37,19.01,23.06,,,,,,-46.17,,,,,,,,,,,,,,,,,,,-18.72,,,-23.18,,,-54.60,,,-73.64,,,,,,,,,,,,,,,,,,,,
MAWANASUG,Dividend Payout %,,0%,,,,,0%,0%,0%,0%,0%,16%,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Sales +,223,241,307,276,250,274,308,347,437,478,346,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Expenses +,225,236,285,255,238,263,288,320,399,450,334,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Operating Profit,-1,4,21,21,12,11,20,26,37,28,12,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,OPM %,-1%,2%,7%,7%,5%,4%,7%,8%,9%,6%,4%,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Other Income,22,2,4,2,3,6,14,11,10,13,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Interest,13,7,7,6,5,5,1,1,1,3,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Depreciation,9,4,4,4,5,4,4,5,7,9,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Profit before tax,-1,-6,14,13,6,8,28,31,39,29,1,,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Tax %,109%,13%,21%,19%,21%,13%,11%,21%,21%,24%,-105%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13%,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Net Profit,0,-5,11,11,5,7,25,25,31,22,2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,EPS in Rs,0.12,-6.54,14.38,13.68,5.97,9.09,32.46,31.46,39.49,28.23,2.88,,-2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.44,,,,,,,,,,,,,,,,,,,,,,
HARITASEAT,Dividend Payout %,0%,0%,24%,18%,25%,27%,18%,16%,15%,21%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Sales +,1360,1552,1889,1826,1814,1998,1979,1854,1960,2392,2286,1899,2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Expenses +,1081,1279,1586,1669,1636,1783,1712,1660,1848,2261,2024,1855,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Operating Profit,279,274,303,157,178,214,267,193,113,131,263,44,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,OPM %,21%,18%,16%,9%,10%,11%,13%,10%,6%,5%,11%,2%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Other Income,37,-3,1,-1,86,63,5,93,2,107,16,-3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Interest,47,51,92,204,257,259,255,238,252,253,233,210,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Depreciation,86,100,117,198,247,254,199,175,161,159,148,134,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Profit before tax,183,120,95,-246,-239,-236,-182,-127,-298,-173,-103,-304,-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Tax %,15%,28%,4%,30%,9%,-0%,0%,0%,1%,-0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Net Profit,155,86,91,-172,-218,-237,-182,-127,-295,-173,-103,-304,-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,EPS in Rs,17.77,9.89,10.40,-19.67,-24.98,-27.14,-20.87,-14.55,-32.89,-19.31,-11.50,-33.96,-28.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDNATGLS,Dividend Payout %,8%,15%,14%,-1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Sales +,24,17,11,6,0,136,213,252,289,343,323,289,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Expenses +,10,4,1,0,0,98,150,152,165,225,221,207,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Operating Profit,14,13,9,6,0,39,64,100,124,118,101,81,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,OPM %,59%,75%,87%,94%,30%,28%,30%,40%,43%,34%,31%,28%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Other Income,1,1,8,7,8,7,9,14,13,14,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Interest,1,0,0,0,0,17,29,35,41,48,65,51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Depreciation,0,0,1,1,1,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Profit before tax,14,13,17,12,7,26,42,77,94,83,38,32,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Tax %,17%,20%,13%,11%,7%,16%,18%,20%,20%,20%,25%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Net Profit,11,10,15,10,6,22,34,61,76,66,28,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,EPS in Rs,3.20,2.95,4.09,2.89,1.73,6.25,9.56,17.30,21.30,18.65,7.95,6.66,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJMERA,Dividend Payout %,34%,47%,42%,52%,87%,27%,26%,17%,15%,18%,18%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Sales +,463,476,567,691,760,779,952,1073,1064,918,977,822,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Expenses +,310,351,458,518,594,591,715,817,819,805,789,613,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Operating Profit,153,125,109,174,166,188,237,256,245,113,188,209,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,OPM %,33%,26%,19%,25%,22%,24%,25%,24%,23%,12%,19%,25%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Other Income,48,47,63,14,21,-9,12,17,29,43,59,85,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Interest,5,3,5,8,7,9,10,11,12,5,21,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Depreciation,19,20,20,21,38,65,71,61,55,51,102,104,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Profit before tax,177,149,146,159,141,105,168,201,207,100,124,169,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Tax %,33%,31%,28%,33%,33%,25%,32%,35%,35%,36%,187%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Net Profit,118,103,105,107,95,79,114,131,134,64,-108,126,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,EPS in Rs,6.22,5.42,5.49,5.62,4.73,3.95,5.69,6.54,6.71,3.19,-5.40,6.28,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHRIL,Dividend Payout %,28%,33%,32%,31%,37%,45%,39%,34%,40%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Sales +,25,41,33,37,17,5,12,17,18,30,11,39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Expenses +,16,28,33,31,19,11,9,10,9,10,9,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Operating Profit,9,13,-0,5,-2,-6,3,7,9,21,2,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,OPM %,37%,33%,-1%,15%,-11%,-115%,22%,44%,48%,68%,21%,80%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Other Income,5,9,15,11,7,8,9,0,1,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Depreciation,1,1,1,1,1,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Profit before tax,14,22,14,16,4,2,12,8,9,20,2,32,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Tax %,17%,-9%,2%,22%,15%,36%,5%,17%,5%,2%,-70%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Net Profit,11,24,14,12,4,1,11,6,8,20,3,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,EPS in Rs,18.62,39.47,22.90,20.45,6.18,1.77,18.53,10.47,13.82,33.13,4.37,45.45,41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKWLIMITED,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Sales +,232,323,447,554,696,772,631,641,730,1128,1029,954,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Expenses +,179,253,352,434,543,580,424,423,531,703,614,601,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Operating Profit,53,70,95,120,153,192,207,218,198,425,415,353,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,OPM %,23%,22%,21%,22%,22%,25%,33%,34%,27%,38%,40%,37%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Other Income,8,6,3,4,9,9,6,12,31,30,45,26,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Interest,4,7,9,12,18,10,8,3,2,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Depreciation,5,6,7,10,15,18,19,22,23,27,33,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Profit before tax,52,62,82,103,129,174,187,206,203,425,425,335,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Tax %,23%,17%,33%,33%,33%,33%,29%,32%,29%,34%,21%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Net Profit,40,52,55,69,86,116,132,140,144,282,334,269,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,EPS in Rs,4.06,5.28,5.56,6.97,8.75,11.22,12.75,13.59,14.00,27.48,32.48,26.20,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINATIORGA,Dividend Payout %,12%,12%,18%,18%,17%,16%,16%,2%,16%,13%,17%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Sales +,20.42,20.34,15.49,30.54,12.97,22.92,39.65,30.62,20.39,10.58,9.41,7.08,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Expenses +,5.44,4.94,12.19,25.65,10.62,21.36,38.08,29.48,15.62,10.48,12.89,8.71,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Operating Profit,14.98,15.40,3.30,4.89,2.35,1.56,1.57,1.14,4.77,0.10,-3.48,-1.63,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,OPM %,73.36%,75.71%,21.30%,16.01%,18.12%,6.81%,3.96%,3.72%,23.39%,0.95%,-36.98%,-23.02%,-6.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Other Income,0.28,0.04,0.74,0.05,0.18,0.36,0.28,0.07,0.04,1.34,3.96,1.64,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Interest,0.31,0.18,0.02,0.67,1.11,0.92,0.94,0.70,0.70,0.88,0.06,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Depreciation,0.86,0.90,0.89,0.49,0.48,0.48,0.33,0.27,0.27,0.34,0.27,0.21,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Profit before tax,14.09,14.36,3.13,3.78,0.94,0.52,0.58,0.24,3.84,0.22,0.15,-0.26,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Tax %,1.63%,1.81%,34.50%,34.92%,32.98%,30.77%,34.48%,50.00%,29.17%,-0.00%,13.33%,-34.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Net Profit,13.86,14.10,2.05,2.46,0.62,0.36,0.39,0.11,2.73,0.22,0.14,-0.35,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,EPS in Rs,2.18,2.22,0.22,0.26,0.07,0.04,0.04,0.01,0.29,0.02,0.01,-0.04,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,Dividend Payout %,15.27%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Sales +,427,2068,3894,6246,10725,10487,12730,10868,8121,2404,1005,447,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Expenses +,182,828,2801,5494,7147,8025,9189,9604,7233,2417,1044,408,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Operating Profit,245,1241,1093,752,3578,2462,3540,1264,888,-13,-38,39,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,OPM %,57%,60%,28%,12%,33%,23%,28%,12%,11%,-1%,-4%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Other Income,32,80,243,412,483,848,509,-3180,1957,1065,-92,134,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Interest,38,317,788,1645,3339,2498,2951,3102,2008,1239,1175,644,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Depreciation,35,180,551,1012,1188,881,1137,1121,861,38,35,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,Profit before tax,204,824,-4,-1494,-465,-69,-39,-6138,-24,-225,-1341,-503,-513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
